id,country,state,city,suburb,postcode,geography_type,indicator_code,indicator_name,category,lead_lag,unit,higher_is,source_name,access_type,period_start,period_end,observed_at,value,raw_value,confidence,source_url,notes
37,AU,WA,Perth,Baldivis,6171,suburb,median_value_12m_change_house,House median value 12 month change,price_momentum,confirming,percent,bullish,OnTheHouse,public_report,,2026-05-31,2026-06-26 13:46:39,29.35172672,29.35172672,normal,https://www.onthehouse.com.au/suburb/wa/baldivis-6171,House: Change in Median Value (12 months)
38,AU,WA,Perth,Baldivis,6171,suburb,median_value_12m_change_unit,Unit median value 12 month change,price_momentum,confirming,percent,bullish,OnTheHouse,public_report,,2026-05-31,2026-06-26 13:46:39,18.474816190000002,18.474816190000002,normal,https://www.onthehouse.com.au/suburb/wa/baldivis-6171,Unit: Change in Median Value (12 months)
39,AU,WA,Perth,Baldivis,6171,suburb,rental_rate_12m_change_house,House rental rate 12 month change,rental_momentum,leading,percent,bullish,OnTheHouse,public_report,,2026-05-31,2026-06-26 13:46:39,1.5625,1.5625,normal,https://www.onthehouse.com.au/suburb/wa/baldivis-6171,House: Change in Rental Rate (12 months)
40,AU,WA,Perth,Baldivis,6171,suburb,rental_rate_12m_change_unit,Unit rental rate 12 month change,rental_momentum,leading,percent,bullish,OnTheHouse,public_report,,2026-05-31,2026-06-26 13:46:39,0.0,0,normal,https://www.onthehouse.com.au/suburb/wa/baldivis-6171,Unit: Change in Rental Rate (12 months)
36,AU,WA,Perth,Baldivis,6171,suburb,suburb_offmarket_count,Suburb off-market property count,suburb_stock,confirming,count,neutral,OnTheHouse,public_report,,2026-06-26,2026-06-26 13:46:39,20710.0,20710,normal,https://www.onthehouse.com.au/suburb/wa/baldivis-6171,
35,AU,WA,Perth,Baldivis,6171,suburb,suburb_recent_sales_count,Current suburb recent sales count,suburb_liquidity,confirming,count,mixed,OnTheHouse,public_report,,2026-06-26,2026-06-26 13:46:39,1406.0,1406,normal,https://www.onthehouse.com.au/suburb/wa/baldivis-6171,
34,AU,WA,Perth,Baldivis,6171,suburb,suburb_rental_listings,Current suburb rental listings,suburb_rental_supply,leading,count,bearish,OnTheHouse,public_report,,2026-06-26,2026-06-26 13:46:39,62.0,62,normal,https://www.onthehouse.com.au/suburb/wa/baldivis-6171,
33,AU,WA,Perth,Baldivis,6171,suburb,suburb_sale_listings,Current suburb sale listings,suburb_supply,leading,count,bearish,OnTheHouse,public_report,,2026-06-26,2026-06-26 13:46:39,126.0,126,normal,https://www.onthehouse.com.au/suburb/wa/baldivis-6171,
21,AU,QLD,Gold Coast,Coomera,4209,suburb,median_value_12m_change_house,House median value 12 month change,price_momentum,confirming,percent,bullish,OnTheHouse,public_report,,2026-05-31,2026-06-26 13:46:30,18.02065389,18.02065389,normal,https://www.onthehouse.com.au/suburb/qld/coomera-4209,House: Change in Median Value (12 months)
22,AU,QLD,Gold Coast,Coomera,4209,suburb,median_value_12m_change_unit,Unit median value 12 month change,price_momentum,confirming,percent,bullish,OnTheHouse,public_report,,2026-05-31,2026-06-26 13:46:30,24.48731591,24.48731591,normal,https://www.onthehouse.com.au/suburb/qld/coomera-4209,Unit: Change in Median Value (12 months)
